is হয়
said বললেন
tournament টুর্নামেন্ট
madam মাদাম
and এন্ড
close ঘনিষ্ঠ
city সিটির
together যৌথভাবে
basin খাঁড়ি
working কর্মরত
high হাই
muhammad মুহম্মদ
during কালে
last সর্বশেষে
writer কথাসাহিত্যিক
few কিছু
countries রাষ্ট্রগুলির
industrialization শিল্পায়ন
stainless নিখুঁত
fazlul ফজলুল
addition সংকলন
brother ভ্রাতা
genocide গণহত্যার
it এটিকে
126 ১২৬
stair ধাপ
celtic কেল্টীয়
for লক্ষ্যে
bring এনেছে
way উপায়
traveler পর্যটক
media মাধ্যমের
estrogen ইস্ট্রোজেন
intel ইন্টেল
complete পরিনত
proper নির্দ্দিষ্ট
convert রূপান্তর
properties বৈশিষ্টসমূহ
introduce অবতারণা
flow প্রবাহ
finns ফিনীয়
translated অনূদিত
tuning স্বরধ্বনির
khadi খাঁড়ি
obstructed প্রতিহত
wife পত্নী
no নাই
placed অবস্থান
chaturthi চতুর্থী
write লেখেন
do থাকে৷
echo ধ্বনিতত্ত্ব
efficiently দক্ষভাবে
sequentially ধারাবাহিকভাবে
country দেশেই
circling আবর্তিত
beautification সাজানো
126 ১২৫
surplus উদ্বৃত্ত
6th ৬ই
median মধ্যমা
lari ল্যারি
also বলেও
depth গভীরতা
if তাহলে
extend প্রসারে
law আইনী
connection যোগসূত্র
use অবতারণা
incurred অর্জনে
through বরাবর
expansion প্রসারণ
severe প্রচন্ড
duplicate নকল
oppose বিরোধিতা
association সংস্থার
mina মিনায়
brings আনেন
urgent জরুরী
attack আগ্রাসনের
private বেসরকারি
upland উচ্চভূমি
transmitted সঞ্চালিত
incidents ঘটনাবলী
symbol নিদর্শণ
situated অবহিত
women মেয়ে
ad খ্রিস্টপূর্বাব্দ
special বিশেষায়িত
earthquakes ভূমিকম্প
india ভারতের
woodrow উড্রো
divert মোড়
bamboo বাঁশ
bali বালি
interval ব্যবধানে
somebody কারো
four চ্যারিটি
run রানের
concrete পাকা
packet প্যাকেট
ending প্রান্ত
crown শিরোপা
hyderabad হায়দ্রাবাদ
write লেখার
alis এলিস
coming এসে
balance ভারসাম্য
symbol প্রতীক
arjun অর্জুন
kernel কার্নেল
loyalty আনুগত্য
soil মাটি
indian ইন্ডিয়ান
normal স্বাভাবিক
old প্রবাসী
frequency কম্পাঙ্ক
recorded নথিভুক্ত
growing বর্ধনশীল
attraction আকর্ষণ
study অধ্যয়নে
they তাঁদেরকে
related সম্বন্ধীয়
vietnam ভিয়েতনামি
ethics নৈতিকতা
established গঠিত
kingship রাজতন্ত্রের
moreover অধিকন্তু
asean ল্যাটেক
arranged সাজানো
ancient সুপ্রাচীন
appreciate প্রশংসা
temporary অন্তর্বর্তী
fungus ছত্রাক
eider ইঁদুর
speak বলেন
whether নাকি
made দিল
not নি
rio রিও
archaeopteryx আর্কিওপ্টেরিক্স
rugby রাগবি
enjoyed ভোগ
molecular আণবিক
impose নির্ধারণের
homosexuality সমকামিতা
meeting বৈঠকের
teaching পড়ানো
planets গ্রহগুলোর
maker নির্মাতা
want চায়
communism সাম্যবাদ
letter চিঠি
establish প্রতিষ্ঠিত
foundation প্রবর্তন
prosperous উন্নত
pal পাল
factory কারখানা
cheating প্রতারণা
rial রিয়াল
length লম্বা
other অপরাপর
51 ৫১
1883 ১৮৮৩
validity বৈধতা
rule বিচারে
are রয়েছে
target লক্ষ
pixel পিক্সেল
more আরও
travelling পরিভ্রমণ
soviet সোভিয়েত
cause নিয়ামক
ethiopia ইথিওপিয়ার
heart দিল
extended সম্প্রসারিত
those গুলো
tell বলি
16th ১৬ই
knight নাইট
mandela ম্যান্ডেলার
departmental বিভাগীয়
underdeveloped অনুন্নত
best শ্রেষ্ঠ
steam বাষ্প
use ব্যবহার
midst মধ্য
other অপরটি
trodden দলিত
watering সেচ
rectify সংশোধন
rising উত্থান
endangered বিপন্ন
in অন্তর্গত
last অন্তিম
disease সমস্যায়
mission মিশন
development উন্নতির
victim বলি
current চলক
swedes সুইডিশ
founder স্থপতি
colour বর্ণ
any যেকোনো
debt দেন৷
is আছে
farmer কৃষক
direction দিগন্ত
area এলাকার
spoiled নষ্ট
color রঙে
church গির্জা
accusation অভিযোগে
gravity মাধ্যাকর্ষণ
art শিল্প
sweets মিষ্টান্ন
distorted বিকৃত
topmost শীর্ষস্থানীয়
opinions মতামত
acquisition অধিগ্রহণ
leave অব্যাহতি
function অনুষ্ঠানের
gravitation মাধ্যাকর্ষণ
illegal অবৈধ
membership সদস্যপদ
fossil জীবাশ্ম
suburb শহরতলি
loan ঋণ
mujib মুজিবকে
novel উপন্যাস
them তাঁদেরকে
coast উপসাগর
was ছিলেন
1862 ১৮৬২
position পদে
lion সিংহের
sight সাইট
mole অণু
increase বর্ধিত
middle মধ্যম
subcontinent উপমহাদেশে
shown প্রদর্শিত
come প্রবর্তনের
present ফুটিয়ে
jobs চাকরির
their তাঁদের
sex যৌনসঙ্গম
timber কাঠ
used লাগানো
many বহুসংখ্যক
bookish পুঁজিবাদ
mutual পারস্পারিক
ruin ধ্বংসের
businessman ব্যবসায়ী
industry শিল্পে
ayodhya অযোধ্যা
profession কাজে
persist লেগে
era শতাব্দির
peaceful শান্ত
neuroscience স্নায়ুবিজ্ঞান
data ডেটা
came এসেছিলেন
feedback জবাবে
competency দক্ষতা
impressed মুগ্ধ
close বন্ধ
children শিশুতোষ
biswanath বিশ্বনাথ
collect আদায়
aunt পিঁপড়া
synonym প্রতিশব্দ
salted লবণাক্ততার
not না
revolt অভ্যুত্থানের
arm অস্ত্র
fight লড়াই
rain বর্ষা
know জেনে
people মানুষকে
ganesh গণেশকে
darjeeling দার্জিলিং
exercise ক্রিয়া
problem সমস্যা
rubber রাবার
reason উদ্দেশ্যে
english ইংরেজরা
appear প্রতীয়মান
e-mail ই-মেইল
union মিলন
craft ক্রফ্‌ট
beauty সৌন্দর্য
border সীমাবদ্ধতা
stone শিলা
saturn শনি
together একত্রে
entertainment বিনোদন
as হিসেবেই
confined আবদ্ধ
minister সচিব
photoshop ফটোশপের
that তারও
monuments স্থাপত্য
feelings মনোভাব
quadrangular চতুর্ভুজের
hurrying ত্বরান্বিত
highest উচ্চতম
7th ৭ম
demonstrated উপপাদ্যের
all সমূহের
13 ১৩টি
belarus বেলারুশ
undivided অভিষিক্ত
popularity জনপ্রিয়তা
primitive প্রাচ্য
vapor বাষ্প
one-party একদলীয়
out বের
amin আমিন
appropriate নিয়মতান্ত্রিক
socialism সাম্যবাদ
scientist প্রকৌশলীরা
syntax সিনট্যাক্স
incarnation অবতার
economics অর্থনীতির
11th ১১ই
looser ব্যর্থতা
surroundings ঘিরে
huge প্রবল
kanchenjunga কাঞ্চনজঙ্ঘা
reactions প্রতিক্রিয়ার
archaeology প্রত্নতত্ত্বের
anybody কেউ
patient রোগী
bath স্নান
respectful শ্রদ্ধাশীল
tantras তান্ত্রিক
dental দাতব্য
submission সমর্পণ
advise বাণী
abdur আবদুর
gold স্বর্ণের
archaeologist প্রত্নতাত্ত্বিক
ratio অনুপাত
similar সদৃশ
brahmaputra ব্রহ্মপুত্র
map মানচিত্র
right ডান
crowded জনবহুল
outburst বহিঃপ্রকাশ
1800 অষ্টাদশ
that সেই
wrote লিখেছিলেন
longitude দ্রাঘিমাংশ
gra গ্রানাইট
feel বোধ
do দু
effective প্রভাবশালী
law আইনের
shaving মুণ্ডন
only কেবলমাত্র
farm খামার
federal ফেডারেল
obtained প্রাপ্ত
so সুতরাং
power শক্তি
celebrate অভিষিক্ত
lived থেকেছেন
wanted চেয়েছিলেন
is রয়ে
reader পাঠক
projector প্রজেক্টের
role বিধান
protest আন্দোলন
types প্রকারের
inventor আবিষ্কারক
shade ছায়া
large বৃহৎ
race গোত্র
hajjah হজ্জ্ব
artist শিল্পী
world জগতের
1000 ১০০০
guinea গিনি
chairman চেয়ারম্যান
suitable উপযুক্ত
picture ছবি
communication যাতায়াত
pie π
that সেটির
society সমাজের
coal কোল
poisonous বিষধর
para পারা
1890 ১৮৯০
napoleon নেপোলিয়ন
1913 ১৯১৩
sector খাতে
cap সমব্রেরো
sunset অস্ত
connection সংস্পর্শে
editor সম্পাদক
wonderful আশ্চর্য
right অধিকারের
instead বজায়
twentieth বিংশ
dual যুগ্ম
hilly পর্বতময়
richard রিচার্ড
gini গিনি
gulf উপসাগরীয়
monthly মাসিক
took নিলে
valley উপত্যকার
medieval মধ্যযুগীয়
famous খ্যাতি
do কর
durga দুর্গা
narrow সরু
salman সালমান
general জেনারেল
co-ordinate স্থানাংক
justice বিচারপতি
heritage কৃষ্টি
writings রচনাগুলির
egypt মিশরে
correct সঠিক
appropriately সঠিকভাবে
propitious অনুকূল
followers শিষ্যদের
community জনগোষ্ঠী
mrs. মিসেস
credit শ্রেয়
properties বৈশিষ্ট্যগুলো
rail রেল
cover ঢেকে
chapter সূরা
falling পড়া
pool মেরু
shortwave ক্ষুদ্রতরঙ্গ
imprisoned বন্দী
cause কারণ
grown উৎপাদিত
shape আকৃতি
rain বৃষ্টি
1941 ১৯৪১
gradually ক্রমশ
mother মার
tower গম্বুজের
rafique রফিক
ready তৈরি
live জীবন্ত
translation প্রতিবর্ণীকরণ
work কাম
reflection প্রতিফলন
amitabh অমিতাভ
mee মি
father পিতা
cabinet মন্ত্রীপরিষদ
earlier আগের
unified ঐক্যবদ্ধ
thought চিন্তাধারা
step ধাপ
tied বাঁধা
sepoy সিপাহি
intercourse মিলন
not হয়না
states রাজ্যসমূহ
by মাধ্যমেও
mammal স্তন্যপায়ী
traditionally ঐতিহ্যগতভাবে
happenings ঘটনাকে
capable সক্ষমতা
haan হান
heart হৃৎপিন্ড
engineer ইঞ্জিনিয়ার
residence নিলয়
unique বিশিষ্ট
stars তারার
mohammad মুহাম্মাদের
zakat যাকাত
club সংঘ
similar সংশ্লিষ্ট
evaluated বিবর্তিত
similar মতো
institute ইন্সটিটিউট
rabindranath রবীন্দ্রনাথ
speed গতি
flow সঞ্চালন
musician সুরকার
seen যায়
planted রোপণ
expenditures ব্যয়ের
arranged আয়োজিত
sulphur গন্ধক
orientated ওরিয়েন্টেড
revolved বিবর্তিত
give দে
purchased কিনে
preparation প্রযুক্তি
chattopadhyay চট্টোপাধ্যায়
whole পুরো
candle মোম
1860 ১৮৬০
sheep ভেড়া
maslin মসলিন
newspaper পত্রিকায়
lip ঠোঁট
poland পোলীয়
hektor হেক্টর
woman মহিলা
study পড়াশোনা
spreading ছিটিয়ে
reality সত্যতা
copying অনুকরণ
ming মিং
plane সমতলের
10 ১০টির
bearer ধারক
partiality বৈষম্যের
attacked হানে
arabic আরবের
take নিলে
sequentially যথাক্রমে
chalukya চালুক্য
agitation আলোড়ন
self নিজেকে
layer পৃষ্ঠতল
6000 ৬০০০
matric ম্যাট্রিক
convert রূপ
theater মঞ্চস্থ
spend কাটান
stream স্রোতের
weight ভর
inseparable অবিচ্ছেদ্য
second ২রা
manager দেওয়ান
bank ব্যাংক
quadrilateral বহুপদী
familial পারিবারিক
these এগুলোকে
unsuccessful ব্যর্থ
seat আসন
banu বনু
delta দ্বীপ
faith বিশ্বাস
autumn হেমন্ত
indian হিন্দুস্তান
promotion পদোন্নতি
cultivator কৃষক
inform জানাই
universe মহাবিশ্বের
northeast উত্তরপূর্বে
symbolic প্রতীকী
adjacent সংলগ্ন
part অংশের
crossing পেরিয়ে
maharashtra মহারাষ্ট্র
great প্রভাবশালী
hadron হ্যাড্রন
quality ঘরানার
pond খাদের
number সংখ্যাকে
muslims মুসলমানরা
main প্রদান
stop প্রত্যাহার
action অ্যাকশন
play খেলেছে
empire সাম্রাজ্যে
jews ইহুদিদের
micro দূরবীক্ষণ
straight সোজা
1939 ১৯৩৯
organisation অর্গানাইজেশন
lady মহিলার
have আছে
limitless অবাধ
locally স্থানীয়ভাবে
boy বালক
project প্রজেক্ট
1882 ১৮৮২
garden বাগানের
explosion বিস্ফোরণ
spinal মেরুদণ্ডী
sediment পলি
nongovernmental বেসরকারী
defence প্রতিরক্ষা
hint আভাস
civilization সভ্যতা
emirates আমিরাতের
being হয়েও
bachchan বচ্চন
appearance আবির্ভাবের
mother মাকে
wikipedia উইকিপিডিয়া
municipality পৌরসভা
network নেটওয়ার্ক
language ভাষার
he তিনি
huge বিশাল
nelson নেলসন
based ভিত্তিক
involved লিপ্ত
kingdom মহল
progress অগ্রগমন
people মানুষেরা
profile তথ্যাবলী
saint সন্ন্যাসী
ahmed আহমেদের
sikh শিখ
undivided অবিভক্ত
deeply গভীরভাবে
sacrifice ত্যাগ
socialism সমাজতন্ত্রের
ideology আদর্শের
borrow ধার
micro-organism অণুজীব
officer কর্মকর্তার
que কিউ
control নিয়ন্ত্রণে
firefox ফায়ারফক্স
marks মার্ক্সবাদী
1881 ১৮৮১
chomsky চম্‌স্কি
about সম্বন্ধে
press প্রসেস
century শতাব্দির
uzbekistan উজবেকিস্তান
extreme চূড়ান্ত
complex কঠিন
avatar অবতার
heaven স্বর্গ
staged মঞ্চস্থ
transfer হস্তান্তর
smallest ক্ষুদ্রতম
russia রাশিয়া
fuel জ্বালানি
volcano আগ্নেয়গিরি
for বলেই
mars মঙ্গল
as হিসাবেও
italy ইতালীয়
expert পণ্ডিত
power মাত্রার
surface তল
mymensingh ময়মনসিংহ
are সমুহ
vatican ভ্যাটিকান
various নানাবিধ
attraction প্রাবল্য
palace প্রাসাদ
vijaynagar বিজয়নগর
performer কারক
prizes পুরস্কারসমূহ
painter চিত্রশিল্পী
club সমিতি
dice পাশা
france ফ্রান্স
inventive উদ্ভাবিত
amphibious উভচর
released নিঃসরিত
al-qaeda চিনি
router রাউটার
syracuse সিরাকিউজের
fifteen পঞ্চদশ
that করিয়ে
speed গতির
3 ৩
loss হারায়
math মঠ
waterlily শাপলা
analog এনালগ
deliver দেওয়ার
switzerland সুইজারল্যান্ডের
advantage সুবিধার্থে
equilateral সমবাহু
go যেয়ে
marketing মার্কেটিং
print ছাপা
more আরো
excited উত্তেজিত
against বিরুদ্ধ
middle মাধ্যমিক
year অব্দের
cortes কোর্টেস
seen দেখে
up ঊর্ধ্ব
korean কোরীয়
film চলচ্চিত্রটির
rani রানী
electronics ইলেকট্রনিক্স
g জি
accident দুর্ঘটনার
others অপরাপর
roman রোমান
conscience আত
give দেবে
writer জীবনীকার
hindus হিন্দুদের
indigenous দেশীয়
death মৃতের
laxman লক্ষ্মণ
win বিজয়ী
leave ছাড়ে
haji হাজী
teacher শিক্ষক
are আয়তন
heavenly দৈব
upanishad উপনিষদ
radio রেডিও
on ওপর
that জেনে
tide স্রোত
geographical ভৌগলিক
low নিম্ন
ne নে
bodily শারীরিক
shadow ছায়া
uruguay উরুগুয়ে
sadness সংবেদনশীল
francisco ফ্রান্সিসকো
job কাজকর্মের
autonomous স্বায়ত্তশাসন
expressed বহিঃপ্রকাশ
vast সুবৃহৎ
expected নাগাদ
humidity আর্দ্রতা
complex জটিল
cricket ক্রিকেট
indisputable অনস্বীকার্য
13th ত্রয়োদশ
pressure গুয়াশ
north উত্তর
management কর্তৃত্ব
suitable খাপ
populated জনবহুল
21st ২১শে
can যাই
news নিউজ
trimurti ত্রিমূর্তি
crusade ক্রুসেডের
prise পুরস্কারের
conformal কনফরমাল
play খেলাধূলা
leader নেতাজি
extended বাড়িয়ে
late দেরি
society সমিতি
subsequently ক্রমেই
abroad বিদেশ
engraved বসানো
super মহা
computer কম্পিউটারকে
1861 ১৮৬১
63 ৬৩
acceptor গ্রহণকারী
modest বিনয়
program কার্যাবলী
pornography পর্নোগ্রাফি
suburban শহরতলি
alexander আলেকজান্ডারকে
term মেয়াদী
medical মেডিকেল
refined পরিমার্জিত
peace শান্তির
uninterrupted অবিচ্ছিন্ন
air এয়ার
import আমদানি
is হয়৷
result ফল
agnosticism অজ্ঞেয়বাদ
television টেলিভিশনের
giant জায়ান্ট
dramatic নাটকীয়
grave সমাধি
can পারবেন
stay বসবাস
separation বিভাজনের
followed অনুসৃত
unstable অস্থায়ী
shout চিৎকার
expenditure খরচ
partial আপেক্ষিকতার
mammalian স্তন্যপায়ীদের
market হাট
denis ডেনিস
hi হায়
formula সূত্র
ibm আইবিএম
every নিত্য
travel হিজরত
publicity প্রচারে
our নিজেদের
sale বিক্রয়ের
madhusudan মধুসূদন
dhaka ঢাকায়
an আন
them তাদেরকে
hard কঠিন
ancient সাবেক
here এখান
jean জঁ
bollywood বলিউড
party দলীয়
reformer সংস্কারক
supposed আনুমানিক
buried সমাধি
drinking পানীয়
elated অভিভূত
customary প্রচলিত
land ভূমির
regarded পরিগণিত
natural স্বাভাবিক
seen দৃষ্ট
than এরও
2nd ২রা
art শিল্পকলার
covering জুড়ে
overy গর্ভে
parties দলগুলোর
ex প্রাক্তন
behalf পক্ষ
elements উপাদানগুলো
appear আত্মপ্রকাশ
efforts প্রচেষ্টায়
literature গল্পে
hajj হজ্জ্ব
fraction অনুপাতের
producer নির্মাতা
wife স্বীয়
moulavi মৌলভী
krypton ক্রিপটন
persian পারসি
against বিরোধের
neon নিয়ন
darkness অন্ধকারাচ্ছন্ন
dramas নাটকগুলি
throw নিক্ষেপ
night রাত্রি
bengal বঙ্গ
development উন্নয়নে
ruins ধ্বংসাবশেষ
curvature বক্রতা
general সার্বজনীন
cosmic মহাজাগতিক
sole একটিমাত্র
civilized সভ্য
nationalism জাতীয়তা
kuch কুছ
galaxy ছায়াপথ
synchronous সঙ্কালিক
sunset সূর্যাস্তের
limited লিমিটেড
anandabazar আনন্দবাজার
goa গোয়া
concentrate আরোপ
dependent নির্ভরশীল
running চালনা
mark মার্ক্স
owner মালিকের
life জীবনকে
coulomb কুলম্ব
characterised চিত্রিত
human মানবীয়
called বলতেন
1918 ১৯১৮
nepal নেপালে
many অনেকে
take নিয়েও
college সহকর্মী
characteristics বৈশিষ্ট
far দূর
acceptance গ্রহণযোগ্যতা
join যোগদান
facts ঘটনাবলির
usb ইউএসবি
quadrangular চতুর্ভুজ
exceptional রহিত
galilee গ্যালিলি
proud গর্ব
one এটিতে
for স্বার্থে
assembly অধিবেশনের
astronomer জ্যোতির্বিজ্ঞানীরা
1854 ১৮৫৪
cache ক্যাশ
oil ওয়েল
name নামটি
animal প্রাণী
adolescent কৈশোর
order অর্ডার
healthy সুস্থ
murder হত্যা
island দ্বীপটি
telecast সম্প্রচার
inspired অনুপ্রাণিত
agricultural কৃষিনির্ভর
ferry ফেরি
relief ছাড়
clothes পোষাক
macedonia মেসিডোনিয়া
landlocked স্থলবেষ্টিত
pen পেন
huge সুবিশাল
municipal পৌর
clash বিরোধ
appeared আবির্ভূত
languages ভাষাসমূহের
residents অধিবাসীরা
radius পরিধি
america আমেরিকাতে
center কেন্দ্র
distant দূর
year বছরেই
mahabharat মহাভারত
was থাকলেও
authentic প্রামাণ্য
vinayaka বিনায়ক
fight যুদ্ধ
april এপ্রিলে
ell ইল
field ময়দানে
electrical ইলেকট্রিক্যাল
switching সুইচিং
everywhere সর্বত্র
respect শিরোপা
announce চিৎকার
destroy ধ্বংস
read পড়েন
faced সম্মুখীন
made নির্মীত
forge হাপর
malhotra মালহোত্রা
molecule অণুর
loose অপরাজেয়
civil বেসামরিক
that তা
oppose বিরোধ
distribution বিতরণকৃত
potency বিভব
singing গাওয়া
beauty রূপ
satisfaction সন্তুষ্ট
literature গদ্যে
etc. ইত্যাদিকে
bearable বহনযোগ্য
87 ৮৭
book গ্রন্থের
artistic শৈল্পিক
photoshop ফটোশপ
soon শীঘ্রই
sura সুরা
primary প্রাথমিক
alive জীবন্ত
command কমানো
happened অনুষ্ঠিত
pronunciation উচ্চারণের
eleven এগারো
though স্বত্ত্বেও
colour রঙের
integrated ইন্টিগ্রেটেড
wide প্রস্থ
arrange সাজিয়ে
execution সম্পাদন
structured কাঠামোয়
part ভাগকে
pearson পিয়ারসন
khatun খাতুন
generation প্রজন্ম
hubble হাবল
city নগর
1988 ১৯৮৮
process প্রক্রিয়ায়
congress কংগ্রেস
illusion মায়া
uefa উয়েফা
serial পারস্পরিক
cooperation সহযোগিতার
seasonal মৌসুমি
pass যাওয়া
also করেও
happens হয
monument মিনার
border সীমা
down নীচের
used পরিহিত
atmosphere মণ্ডল
method ভাবেই
symptom লক্ষণ
subset উপসেট
religion ধর্ম
sometimes কখনো
skill কৌশল
so এতটাই
71 ৭১
wind বায়ুর
mariner মেরিনার
basic মূলধারার
part অঙ্গ
importance গুরুত্ব
old প্রাক্তনী
turkish তুর্কি
cinema চলচ্চিত্র
ebony ইবনে
camp ঘাঁটি
mechanics বলবিজ্ঞান
slave দাসী
marriage বিবাহ
consequence অগত্যা
life জীবনে
hewlett হিউলেট
electronic ইলেকট্রনিক
establishment স্থাপনা
ashram আশ্রম
revolt অভ্যুত্থানে
book গ্রন্থপঞ্জি
marks মার্ক্সের
soldier সৈনিক
muhammed মুহম্মদ
recently সম্প্রতি
income জীবিকা
arising চেতনার
sell বিক্রয়
change বিবর্তনের
ratio অনুপাতের
revolution প্রদক্ষিণ
send পাঠায়
tradition ধারায়
deputy ডেপুটি
profit লাভ
beard দারি
hero নায়ক
missionary মিশনারিস
conducted সঞ্চালিত
mistake ত্রুটি
devnagari দেবনাগরী
specialist বিশেষজ্ঞের
equilibrium ভারসাম্য
an এন
earthy পার্থিব
player খেলোয়াড়কে
son ছেলে
bronze ব্রোঞ্জ
accelerated ত্বরান্বিত
kamasutra কামসূত্র
measurement পরিমাপ
primitive আদি
gauss গাউস
searching সন্ধানী
data তথ্য
coalition জোটের
pentagon বহুভুজ
box বক্স
careful সচেতন
house বাসা
decay অবক্ষয়
editing সম্পাদনায়
periodical সাময়িকীতে
dowry পনের
awakening উদ্বোধন
resident বসবাসকারী
completely সম্পূর্ণভাবে
circuit বর্তনীর
discovery আবিস্কার
venis ভেনিস
together একযোগে
fuel জ্বালানী
evaluation নির্ণয়
mosquito মশা
ocean সমুদ্রে
field প্রাঙ্গনে
occupation জীবিকা
concentration মনোনিবেশ
established প্রতিষ্ঠিত
speaker অধ্যক্ষ
inner ভিতরের
lungs ফুসফুস
limited সীমাবদ্ধ
guest অতিথি
delegates প্রতিনিধিদল
compulsory আবশ্যিক
subjects বিষয়গুলো
lightened আলোকীয়
bhutto ভুট্টো
time সময়ের
old ব্যুরো
winter শীত
maker স্রষ্টা
5 ৫
around ঘিরে
every প্রতিটি
exclusive একচ্ছত্র
peace শান্তি
3300 ৩৩০০
profitable ব্যবসাসফল
external বাহ্যিক
identity পরিচয়
mixture মিশ্রণ
technologist প্রাযুক্তিক
type বিশিষ্ট
said বলেছে
situation পরিস্থিতির
ill খারাপ
industry শিল্পের
guevara গুয়েভারা
claim দাবি
min মিন
apply প্রয়োগ
congress কংগ্রেসে
close ঘেঁষে
latin ল্যাটিন
one একটিকে
baki বাকু
reader পাঠকদের
confront সম্মুখীন
sca স্ক্যানডিয়াম
width প্রস্থ
respected পূজিত
age যুগেই
danger সংকটের
electron ইলেক্ট্রন
place অবস্থানে
industry শিল্প
periodical সাময়িকী
surroundings চারপাশের
document ডকুমেন্ট
informed জানায়
plant উদ্ভিদ
clear স্পষ্ট
dynasty বংশের
aware সতর্ক
responsibility দায়দায়িত্ব
era যুগ
think বিবেচনা
speech বক্তব্য
roads রাস্তাঘাট
bell বেইল
end পার
areas স্থানসমূহ
acceptance স্বীকৃতি
family ফ্যামিলি
heavenly স্বর্গীয়
universe বায়ুমণ্ডলীয়
notion সংস্কার
moral আদর্শগত
ancient প্রাচীন
extended পরিবর্ধিত
later পরের
newton নিউটনকে
tibetan তিব্বতি
carry বহন
socialisation সামাজিকীকরণ
director পরিচালক
idea ভাব
stop স্থগিত
soil মাটির
almost ৬৩
unit ইউনিট
looked দেখতেন
fact কাহিনী
dead মৃত
income উপার্জন
giving দেয়ার
email ইমেইল
articles সামগ্রী
because জন্য
progress অগ্রগতি
khaleda খালেদা
arrange জোগাড়
signature স্বাক্ষর
concluded পর্যবসিত
unis ইউনূস
particle কণা
property সম্পদ
tale উপাখ্যান
anniversary বার্ষিকী
colony উপনিবেশে
reputed স্বনামধন্য
well ওয়েল
at নাক
direction দিগন্তের
reasons কারণের
reaction সংশ্লেষ
750 ৭৫০
plasma প্লাজমা
stage মঞ্চে
politicians নেতারা
besides এছাড়াও
victory জয়লাভ
logo লোগো
property সম্পত্তি
highway হাইওয়ে
opera অপেরা
scene দৃশ্য
poem পদ্য
faculty অনুষদে
gama গামা
gopalganj গোপালগঞ্জ
shantiniketan শান্তিনিকেতন
against বিরুদ্ধে
conflict সংঘাতে
gift উপহার
quba কিউবা
atomic পারমাণবিক
nation জাতির
watchable পর্যবেক্ষণযোগ্য
fock বাউল
invention আবিষ্কারক
rectangle চতুর্ভুজ
declared ঘোষিত
arora ত্রিভুজ
sorrow দুঃখ
sixth সিক্সথ
readers পাঠকদের
condition অবস্থাতেই
area অঞ্চলকে
library গ্রন্থাগার
unit এককে
philosophy ফিলোসফি
broadcast সম্প্রচার
hey হে
sanatan সনাতন
frontier সীমান্তবর্তী
initiate সূচিত
originally আদিতে
force তীব্রতা
materials সামগ্রী
german জার্মান
speech ভাষ্য
both দুজন
goddess ভগবতী
movie চলচ্চিত্রটি
you আপনি
solutions সমাধানের
newspaper পত্রপত্রিকায়
road রাস্তার
end ঘটানো
lakh লক্ষে
any কোনও
microscope অণুবীক্ষণযন্ত্র
inaugural উদ্বোধনী
generous মহামতি
gary গ্যারি
book গ্রন্থে
parliament পৌরসভা
years বছরেরও
indicator সূচক
that ঐ
district জেলা
parts বিষয়াদি
picture ছবির
bridge সেতুর
safar সফর
running দৌড়ে
bacteria ব্যাক্টেরিয়া
oak ওক
pali পালি
commodities দ্রব্য
excessive অস্বাভাবিক
pool মেরুর
small কমই
your আপনার
drug মাদক
especially বিশেষায়িত
space স্পেস
cancer ক্যান্সারে
that এজন্য
letter পত্রে
then তাহলে
sexual যৌনতার
sister বোন
phase দশা
ate খেয়ে
rulers শাসকদের
getting পেলেও
inspiration অনুপ্রেরণা
stay বিরাজমান
firework কুচকাওয়াজ
career কর্মজীবনের
benevolent উদার
egyptian মিশরীয়
95 ৯৫
weak দূর্বল
actually কার্যত
pronunciation স্ক্যানডিয়াম
excavation খননকার্য
structure কাঠামো
steps পদক্ষেপ
shila শিলা
telecommunication টেলিযোগাযোগ
antiquarians প্রত্নতাত্ত্বিকরা
restriction নিষেধাজ্ঞা
wish ইচ্ছা
11 ১১টি
earth মৃত্তিকা
mecca মক্কার
dialogue সংলাপ
islamic ইসলামী
250 ২৫০
research গবেষণাকে
stop ছেদ
robson রবসন
sita সীতাকে
supervise দেখাশোনা
assailant আক্রমণকারী
denoting বিষয়ক
time সময়
nehru নেহরু
platform মঞ্চে
which সেই
transformation রূপান্তর
exploit শোষণ
collected সংকলিত
percentage শতাংশের
non-violence অহিংসা
novelist ঔপন্যাসিক
platform ঐক্য
globalization বিশ্বায়ন
these এসব
joy আনন্দের
rally সমাবেশে
announce ঘোষণা
told বলেছেন
establish গোড়াপত্তন
chilli চিলি
dr. ড
chromosome ক্রোমোসোম
length দৈর্ঘ্যে
song সঙ্গীত
return ফেরত
book গ্রন্থ
running প্রচলিত
subject বিষয়কে
150 ১৫০
fall পতনের
itself স্বয়ংসম্পূর্ণ
mandarin ম্যান্ডারিন
1961 ১৯৬১
colon কোলন
ic আইসি
earn অর্জনে
volume ভলিউম
equator ইকুয়েডর
jambu জাম্বুরা
except তাছাড়া
power সিদ্ধ
taka টাকা
medial মধ্যবর্তী
ghana ঘানার
team বাহিনীতে
whose যেগুলির
jolly জোলিকে
many অনেক
however যদিও
portuguese পর্তুগিজ
decorated সজ্জিত
composer রচয়িতা
seated উপবিষ্ট
tiger বাঘ
opposite বিরোধী
shahrukh শাহরুখ
owner মালিক
prevent বাধার
that এ
exchange এক্সচেঞ্জ
