loss scăderea
montenegro muntenegru
confront confruntă
aspects aspecte
successively succesive
has are
technologies tehnologii
height maxim
migration migrația
between între
consist constau
man bărbat
neptune neptun
revolutionary revoluționar
thirteenth xiii
played interpretată
article articolul
saxon sași
that cel
sight vederea
action acțiunii
disorders tulburări
established stabilită
be afle
representative reprezentativă
disorder tulburări
outbreak izbucnirea
mandatory obligatorie
disc discul
positions poziții
hill câmpie
permanent permanentă
included cuprinse
discovery descoperire
participated participat
repeatedly repetat
react reacționat
populations populațiilor
present prezent
moldovan moldoveni
operation operare
verifies controlează
responsible responsabil
slovak slovacă
sweden suediei
included includea
doctrine doctrina
prize premiului
get obținere
process procesului
operation funcționarea
anyone oricare
former fostul
horse calul
controversial controversat
mediterranean mediteranean
beautiful frumos
translate traduceri
coal cărbunele
especially deosebi
pairs perechi
disc discului
ships navelor
organisms organisme
holy sfânta
attestation atestare
resurrection înălțarea
competition concurență
commitment supuși
posthumous postum
tension tensiune
word termenul
intensity intensitatea
aesthetic estice
passing trecerea
influence influențe
fabrication fabricarea
armistice armistițiu
obtain obțin
distinction distincții
inn hanul
decided hotărât
library bibliotecii
brits britanici
place comunei
come proveni
circulatory circulator
solutions soluții
help sprijin
plunger pistonului
training formării
some unora
nouvel nuvela
pieces pieselor
monograph monografie
romania româniei
this asta
communists comuniștii
metal metale
month luna
forensic legală
contrary dimpotrivă
unity unitate
figure cifra
olt oltului
metropolis mitropoliei
color culoarea
during parcursul
head frunte
job sarcina
teenage tinereții
wagons vagoane
encountered întâmpinat
archaeological arheologice
name oscar
sculpture sculptură
understood presupus
electrics electrice
abilities abilitățile
god zeul
limited limitat
monastery mănăstire
missing lipsesc
dedicated consacrat
existence existență
competitions competiții
leaders lideri
romani romi
english engleză
exit iasă
less puțin
middle mijloc
key tasta
also totodată
bases bazele
neighborhood cartier
orientation orientare
content conținut
constitutes constituie
latin lat
states stările
citizens cetățenilor
geography geografice
rays raze
amount cantitatea
dimension dimensiunea
assistance suport
believed consideră
muslims musulmani
exhibition expoziție
declare declara
tight strânsă
world universul
people popoarele
diminishes reduce
conference conferințe
wealth avere
saw remarca
mother mamă
possible eventual
monastery mănăstirii
voice voce
allow permită
campaign companiile
statistic statistică
sir domn
ensured asigura
executed executate
functional funcțională
must trebuiau
alternative alternativă
accepted acceptate
route parcurs
others alți
ally aliat
american americană
organisation organizația
commercial reclamă
honor onoarea
from dinspre
researchers cercetătorii
free elibera
name denumire
removed îndepărtat
held ținea
name gheorghiu
theory teorie
weak slabe
chief șeful
singer solist
frenchman francez
influenced influențată
mary mariei
safe sigură
offering oferind
hungary ungaria
aristotle aristotel
management managementul
area cuprinsul
freedom libertate
victim pradă
review cronica
tongues limbilor
declaring declarând
arrive ajung
mammals mamiferelor
wind vântul
said precizat
established stabilit
economic economică
some anumiți
colors culorilor
walking mers
help ajutorul
characterized caracterizat
changed convertit
surrounding înconjurător
physics fizica
one vreun
capacities capacității
accurately precis
use folosi
occupied ocupată
former fostele
peter petrescu
list lista
shape forma
russia rusia
revolutionaries revoluționari
users utilizatorilor
basement privința
alliance alianță
romanticist romantică
territories teritoriilor
henry henri
joins adera
germans germanice
postmodern postmodernă
orientated orientate
icon ioana
to să
writer scriitorilor
elementary generale
only doar
lab laborator
clam stoica
some puțină
two două
accent dialect
alliances alianțe
attempts tentative
unfavorable negativă
so așa
i îți
many câți
holiday sărbătoare
self sine
are exista
wars războaie
depressions depresiuni
democracy democrație
offered oferite
warming încălzirii
hundreds sute
opposition opoziția
tattoo tatu
israeli israelian
consecutive succesiv
effort efort
study studieze
balkan balcanice
went mers
language limbă
sketches schițe
cats pisici
inhabited locuită
rises răsărit
out exterior
genuine adevărată
consolidated consolidat
ran fugit
galati galați
of celui
birds păsările
besides lângă
foundation fundația
polish poloneză
success succesului
them pe
institution instituția
prestigious prestigiu
organization organizație
enter intra
non-metal nemetal
herzegovina herțegovina
available disponibile
accept acceptă
peek vârful
roads căi
record palmares
thermal termice
accorded acordat
generator producător
thousand mia
conceptions concepții
ships corăbii
meeting întâlnire
twilight amurg
notch nod
station posturile
control controlate
heating încălzire
acts servește
opposes opune
contribute contribuind
diversity diversitate
ancestors strămoșii
name silvia
exerted exercitat
read citește
meadow lunca
outside exterior
reference referință
criticised criticat
functions funcțiilor
heavies greutăți
forms formelor
sovereigns domnitori
common reciproc
coming provenit
finalized finalizat
prosecution efectuarea
wide larg
recorded înregistrate
moral morală
clouds nori
ideas idei
given acordată
unit unității
stop împiedică
globe globului
removal îndepărtarea
step pas
commander comandant
approval aprobarea
sports sportive
successively succesiv
existing existente
contest concursul
triggered declanșat
preceding dinaintea
appearance înfățișarea
signed semnată
means însemna
planets planetelor
dispose dispuse
descend coboară
philosopher filosof
name denumiri
up sus
flight zbor
them lor
snakes șerpilor
personality personalitate
quarter sfert
beauty frumusețe
main principali
skin pielii
amounts cantității
codes coduri
name junimea
name carmen
monarchy monarhie
orthodox ortodocși
entirely totalitate
lion leul
cyrillic chirilic
painted colorate
retreat retrage
edition th
carbon carbonul
stream curgătoare
beginning încep
surrealism suprarealismul
control controlează
construction construcțiile
institution instituție
powers puterile
near aproape
religion religiei
architect arhitect
mythology mitologiei
murder crimă
post-mortem postmortem
dominated dominată
descendents descendenți
alone sigură
which ceea
wish dorința
europeans europeni
except excepția
commentaries comentarii
cause provoca
swedish suedez
public publică
again iarăși
preceding înaintea
white alb
say spunând
john ion
extensive amplu
home domiciliu
crown coroanei
turkey turciei
infrastructure infrastructura
trafic traficul
determine determinate
bodied corpurilor
years anilor
work creației
operating operează
withdrawal retragerea
rather degrabă
symbols însemnele
mountainous muntos
related derivate
democracy democrația
dangerous periculoase
thinking cugetarea
peripheral periferic
dacian dacice
letters scrisorile
horizontally orizontal
depth adâncimea
planned proiectată
turks turcii
located situată
passages pasaje
ripe mătură
generated generat
founds înființează
especially precădere
national naționale
provide prevedea
confidence încredere
bad rele
millennium mileniului
bridge podul
constant stabilă
appear apărea
britains britanice
forgotten uitat
exploitation exploatarea
ever vreodată
afghanistan afganistan
metal metalelor
any oricărui
loose pierd
community comunitatea
sunspots pete
train trenul
professor profesor
song piesă
composition alcătuirea
recording înregistrarea
grammar gramatica
unique inedită
personalities personalității
confrontation confruntare
picture pictura
income veniturile
indicate indica
peter petru
architectures arhitecturii
tracks căile
leaving plecarea
function funcției
say spun
signing semnarea
salt sărată
entry intrarea
search caute
attributed seama
groups grupele
finish termina
final definitivă
bands formații
philosophical filosofice
manufactures producătorii
pedestrian terestră
last ultimului
domination stăpânirii
chronic cronice
west occident
background fond
mass-media massmedia
letters litere
girls fețe
impulse impulsul
about jur
walls ziduri
politics politica
suggested sugerat
use folosiți
verse poezia
genre gen
due datorată
ancient antici
essayist eseist
originary originară
thin subțire
parts porțiuni
features particularități
mainly majoritar
bind leagă
russians rușilor
protestant protestantă
translation trad
future viitorul
photo foto
armenian armeană
unfortunately păcate
bird pasăre
organised organiza
dispute dispută
machines mașinii
observation observație
banking bancar
contest concursului
weight greutatea
interpret interpretează
that carel
democratic democrată
belongs aparține
characteristic caracteristice
variety speciilor
admit recunosc
constitution constituite
much multă
all parcursul
answer răspuns
regarding privința
main principale
administration administrație
institution institutul
name alexandre
thesis teza
roman romanul
station gară
travel călători
forced forțat
complex complexul
want vrut
composition compoziție
supervision supraveghere
code cod
adapted modificată
category categoria
properly corect
base baze
romanian român
savings economii
subject supus
also tot
supported susținută
elimination eliminarea
meet întâlnire
said menționată
placed amplasat
stability stabilitatea
specify precizează
considered considerate
investment investițiilor
contents cuprinsul
phimosis fimoza
modified modifică
countryside comună
spain spaniei
rescue salvarea
south-east sudest
talked vorbite
parts piese
physics fizicii
police poliție
adjoining adiacente
consider considera
neighbours vecine
impact impactul
observed observată
proper corespunzătoare
during ocazia
international internațional
grades grade
serious serios
required necesita
full deplină
tour tur
tropical tropicală
project proiect
contains conține
turning lungime
continuing continuând
substance materia
cylinders cilindri
present prezentând
letter scrisori
base baza
forests pădurile
severe gravă
spring primăvară
pass depășește
climbers alpiniștii
affirmed afirmat
ships navele
twelve douăsprezece
posthumously postum
coordinates ab
page pagină
suggest recomandă
various diverselor
establish stabilește
energetic energetice
name ileana
actions acțiuni
channel canalului
charge acuzația
merged sudare
name iorga
place crimeea
corps corpurile
influencing influențează
teutonic teutoni
ship vas
budgets bugetului
determine stabilesc
register înscrie
houses adăpostește
middle sânul
appreciated apreciată
fourteenth xiv
palace palat
their isi
special deosebit
flat blocul
macedonia macedoniei
exerted exercitată
zeeland zeelandă
systematic sistematic
masterpiece operă
factory fabrica
first întâi
options opțiuni
gate poartă
answer răspunsul
repertory repertoriul
heroes eroilor
destruction distrugere
visited vizitate
passion pasiune
group grupare
organisation organizație
rejected respinsă
followed precedat
income veniturilor
nations națiunii
dead morților
reduce reducerea
main principala
informatics informatică
useful folosită
chronological cronologic
flag pavilionul
movement circulație
bacteria bacterii
monthly lunar
flight curse
drawing desene
with alături
last ultim
personality personalității
science științelor
rich bogați
baptist botezătorul
tsar țarului
entire întreaga
great marelui
evolved evoluat
decrease scăderea
landing debarcare
light ușoare
both ambelor
could putea
lordly domnești
helium heliu
meaning sens
vast întinderea
creed cultului
completely întregime
deal înțelegere
industrially industrial
ancient antice
football fotbalul
could aș
painting tablou
function funcționare
general generali
novel romanului
plays piese
four patru
fund fond
comercial comerciale
her sa
bow arcul
paintings tablouri
processing prelucrarea
name baia
category categorie
systems sisteme
deceased decedat
case vorba
garden curte
east estică
arms arme
continental continentală
god dumnezeu
bright luminoase
second secundă
numerous numeroasele
band formației
virgin fecioara
special deosebită
afternoon zilei
heat căldurii
river râului
stream pârâul
improvement amenajarea
opposition opoziție
egyptians egipteni
called supranumit
acid acidului
manifest manifestă
big amplă
keep păstra
shape forme
fall căderea
jewish evreiesc
next următorul
installation instalarea
name angelo
activity activității
clinical clinic
poles polonezii
made puse
gaul galia
mostly majoritar
legislation legislației
dialect dialectele
leader liderul
add adaugă
pomegranate rodia
work muncii
binds leagă
computer calculator
climate climei
northern nordic
police poliția
entente antantei
mandate mandatului
lived locuite
visit vizitate
business afaceri
pass trecerea
closer apropiată
size dimensiunea
account calcul
my mele
owned deținută
carried desfășurat
administratively administrativ
colony colonie
researches cercetările
current actuala
honors onoruri
were fuseseră
organization organizația
pronoun pronume
escape scăpa
variants variante
inspiration inspirație
universal universale
dioxide dioxid
marie mariei
made alcătuit
terrestrial terestru
durable durabilă
estimate estimată
villages sate
thought gândit
creation creații
differs diferă
tree brad
general generale
rows rândurile
parallel paralel
people popoarelor
copies exemplare
scene scena
output debit
young tânărul
fire incendiu
bacteria bacterie
thousand mie
justice justiție
compelled obligați
organ organul
word cuvântul
authors autorii
altitude altitudine
destruction distrugeri
wel sudare
networks rețele
content cuprinsul
revenues venituri
activity activitatea
governmental guvernamentală
america americii
general generalul
building constructoare
antisemitism antisemitismul
minorities minorități
grants acord
ahead prevăzute
facts faptele
timisoara timișoara
legal juridică
power energetic
notes notează
to pune
success succes
towns orașe
home casa
boards plăci
found regăsește
day zi
chisinau chișinău
agents agenții
distinctive distinctă
canada canadei
stone lapidare
perspective perspectivă
some oarecare
few câteva
preparing pregătea
civilisations civilizații
astronomers astronomii
generated generate
forest păduri
university universități
macedo aromânii
girls fete
farmers țăranii
secrets secrete
restricted restrânsă
bottom fund
stars stele
composes compune
iran iranului
confusion confuzie
tram tramvai
conformity conformitate
speaks vorbește
islands insulelor
act actului
forests păduri
best buni
lakes lacurilor
christmas crăciun
comes provine
invention inventarea
conviction convingerea
career carieră
techniques tehnicile
exclusive unice
reports relatează
them ele
navy marină
railways ferate
independence independenței
low scăzute
estates moșii
distinct distincte
investment investițiile
goods marfă
frequency frecvența
feels simte
incomes veniturilor
subterranean subterană
axis axa
pond baltă
seaside litoral
southern sudice
research cercetarea
plain câmpie
putting punând
named denumit
which căror
goal scop
agitation stările
capital capitală
moderated moderată
dusk crepuscul
ex fosta
counter contra
messager solul
physicist fizician
issues problemele
communities comunei
valleys văile
name dumitru
greenland groenlanda
peaks culmile
was făcea
true adevărate
patrimony patrimoniu
objects obiectelor
released publicate
occasion ocazia
name arabia
evoke evocă
task sarcina
well fântâna
service serviciului
married căsătorească
position poziției
few puținele
moments momentele
daily cotidian
times vremii
dukedom ducat
accounting contabilității
slightly ușoară
practice practici
so atât
lasting durabilă
friend prietenul
iron fierul
romanians românii
supports susține
christians creștinii
greek grecii
turkish otomană
name vianu
tone sunetului
harsh dură
observatory observator
accepted acceptat
purposes scopuri
axis axe
oceans oceanelor
thirty treizeci
think credea
battles bătălii
less mică
continent continentul
informations informațiile
lower inferioară
muslin musulmane
sound sunetului
hypotenuse ipotenuzei
unknown necunoscut
exists există
whose cui
avoid evita
factories uzinele
divided împărțit
energy energetice
use uz
tour turul
travelers călători
certified atestat
mineral ruteniu
concerned preocupat
glass sticla
modern moduri
oriental orientată
short scurte
authors autorilor
inability incapacitatea
novelty inedite
released eliberată
bathhouse băile
flow debit
emperor împărat
committee comitetului
public publicul
nationalities naționalități
geological geologice
inferior inferioară
name cătălin
institutes institute
suffer suferă
revolutionaries revoluționarii
collaborators colaboratori
hands mâinile
guard legionare
recall aminti
justice justiția
firsts primii
goddess zeiță
phenomenon fenomenul
tributary afluenții
companies companii
edge vârf
alternative alternativ
order ordinea
nationalist naționalistă
traditional tradițională
wall peretele
former fostă
fast repede
mouths gurile
usa sua
giving dădea
note nota
dedicates dedică
happens petrece
poem poemul
situated situate
agricultural agrară
insured asigurat
source sursă
earns obține
flag steag
ptolemy ptolemeu
fall cadă
reportages reportaje
thought credeau
owns deține
flows varsă
danger pericol
got primea
wins victorii
languages limbi
led conduse
protons protoni
partial parțială
conservatory conservator
egypt egiptul
we amintim
full pline
received beneficiat
concerning privind
functioned funcționat
charged încărcate
men bărbați
eastern estice
administration administrația
connect unesc
lynching lapidare
observes observă
name alexandrescu
grows mărește
takeover preluarea
aircraft aeronave
name dracula
nobody nimeni
establishment instaurarea
prefix afix
finland finlandeză
dates datează
resurrection învierea
relations relațiile
declared declarat
monasteries mănăstiri
voivode voievodului
this prezenta
went îndreptat
mountains munți
beech fag
consulate consulatul
habit locuire
reduced redusă
strip fâșia
by lui
part parte
during parcurs
humanism umanității
localities localitățile
suffer suferit
bringing aducând
existing existând
constructions construcții
of ale
monasteries mănăstirile
severin severinului
witnesses martorii
neutral neutru
stretch întindere
named numească
to ași
manufacturers producători
building construiește
kill ucide
reforms reforme
community comunității
bucharest bucurești
contain conținea
harbor portului
notions noțiuni
areas teatre
room camerei
intervention intervenție
side parte
send trimise
himself singurul
notable notabile
accomplished realizat
locality localității
quran coran
thermic zilnică
contribution contribuind
envy ciuda
busted arestați
considerably considerabil
systematically sistematic
drops scade
catfish somnul
true adevărata
shepard mioritic
version versiunea
member membru
single singure
library biblioteca
adults adulți
produced producând
european europene
act acționa
demography demografie
arranged dispuse
percent procent
salvation salvarea
former vechii
finding aflânduse
knew știa
from provenind
under sub
heavy greu
operations operații
medieval medievale
top clasamentul
many multiple
winters ierni
interrupted întreruptă
objective obiective
put pusă
important importante
week slab
physical fizice
composition compoziția
periods perioade
primary primar
shelter adăpost
despite ciuda
bible biblice
strait strâmtoarea
metals metalelor
ensure asigure
profound profund
wait așteaptă
sufficient suficientă
held dețineau
achaean aheilor
number numărul
i. i
changes schimbările
flora floră
stipulated prevăzute
flags steaguri
televisions televiziuni
minister ministru
sea mării
directorate direcției
so asa
differences variațiile
tourist turistică
ranking clasamentul
mayor primarul
troop trupe
ethics etică
recorded înregistrat
organises organizează
blooming înfloritoare
interpretations interpretări
took durat
interview interviu
situated plasată
leukemia leucemie
joined alăturat
consume consumul
test testul
campaign companiei
seen vede
some anumite
wished urmărea
persons persoanele
representing reprezentând
history istoriei
intervention intervenția
sustained susținute
jordan iordania
russian rusești
hungarian maghiară
armies armate
thermic termic
meet întâlnește
will voie
anthem imnul
jerusalem ierusalimul
whole întregi
meets îndeplinește
dramatic dramatice
results rezultă
share pondere
get obține
organization corp
clients clienți
centuries secolele
solutions soluțiile
musical muzical
core miezul
monarchy monarhia
feel simte
wood lemnul
empire imperiul
play joacă
taken preluate
mechanical mecanic
obligations obligații
taxes impozite
where unde
features caracteristicile
period rit
belt centura
comedy comedii
protection protejarea
young puii
good bună
rudolph rudolf
fans fanii
events evenimentele
strategic strategică
heritage patrimoniului
only singur
succeeded reușit
flat net
tracks urmele
sure sigur
princely domnești
last ultimele
started începuse
figure figură
pentecostal penticostală
eastern răsăritene
not nui
pass treacă
affection afecțiune
producer producătoare
right dreptul
height înălțimi
galeries galerii
leader lideri
search căutare
criticize critică
compounds componentele
perfect prefect
moldavia moldovei
ottoman otomani
beliefs credință
nautical maritim
precipitation precipitații
star steaua
lost pierdută
city oradea
publishes publica
building construi
lisbon lisabona
search căutarea
loyal fidel
university universitare
left stânga
influences influențe
rich bogate
happy fericit
biogeography biogeografie
scholars învățați
identity identitatea
life viața
advantage avantajele
higher superior
heights înălțimea
spatial spațială
manufacture fabrică
birs pasăre
ores minereuri
speakers vorbitori
ages epoci
metropolis mitropolia
approximately circa
royal regală
physical fizica
formation realizării
famous faimoasă
hunting vânătoarea
combination combinație
produce producerea
happen petrece
credentials credinței
hungarian ungar
practice practica
depends depinde
province provincia
house casă
developed elaborat
circle cercului
economical economică
balkans balcanice
identity identității
cover înveliș
demonstrations demonstrații
champion campion
name veronica
him lui
approach apropia
british englez
lacked lipsă
take duce
choices variante
germs bacterii
palestine palestina
match meciuri
cleopatra cleopatrei
practice practicarea
power puterii
precipitations precipitațiile
communist comunist
training pregătire
many multor
chapter capitolul
alternatives alternative
theme tema
located localizat
engineer inginer
christmas crăciunului
hotels hoteluri
generate genera
support suportă
determinate determină
expanded extins
emphasized accentuat
quote citat
prince principe
put punerea
terra terrei
soviet sovietice
ethnic etnice
outstanding remarcabil
had aveau
active activează
language limbaj
stage etapa
about cam
space spațiului
asked întrebat
supported susținut
go meargă
reasons rațiunii
effort efortul
leave las
phenomenons fenomenelor
event întâmplare
classics clasice
covered acoperite
deposits depozite
turkish turcă
postal poștal
king vodă
forest pădure
user utilizator
double dublu
supreme supremă
rooms săli
eyes ochi
adopting adoptarea
grace grație
insurance asigurarea
website siteul
saint sf
saint sfânta
section secțiunea
made realizat
without lipsit
india indiei
follow urmeze
happen întâmpla
withdrawal ieșire
monuments monumentele
macintosh mac
were existau
comedy comedie
rainfall precipitații
manufacturer producătorul
faces figurile
issue publicarea
set scară
portugal portugalia
process procese
large larg
sex sexul
translation traducerea
nationality naționalități
symbol simbol
will voia
artist artista
nearby împrejurimi
helps ajută
nations națiunilor
grow crească
temperatures temperaturilor
structure structură
experts specialiștilor
sinks propagă
law lega
mathematics matematică
old bătrân
networks posturile
requires necesita
somewhere undeva
particles particule
transformation transformare
presence prezenței
self-reliant stătătoare
novel romanul
hungary ungar
which cărora
parallel paralela
reorganization reorganizarea
represented reprezentate
knights teutoni
used utilizate
editions ediții
private intim
ottoman otomane
satellite sateliți
sat așezată
matter materiei
stage scena
navy naval
heir moștenitorul
defined definit
election alegeri
capitulation capitularea
needs necesită
supported susțineau
height înălțime
blood neamul
third treia
surrounding înconjoară
linguistic lingvistic
terrestrial terestre
offered oferit
memories aminti
author autor
lawyer avocat
tale basmul
affluent afluenți
have iau
using utilizând
long lung
independence suveranitatea
pictures poze
neighborhoods cartiere
occasion ocazie
areas arii
arabic arabă
legion legiunea
secondary secund
emotion stare
similar similare
wood lemnului
relief relieful
link legătura
company campaniei
never vreodată
west vestice
followed urmat
void vid
met întâlnite
integrated integrat
tower turnul
decisions decizii
dutch olandeze
frequent frecvente
stable stabilă
birth nașterea
ethnicity etnie
fortified fortificată
homonymy omonimie
library biblioteci
supporting susținând
reform reformei
myths miturile
ass fund
but da
wanted dorea
counties municipii
set stabili
limited limitată
learnings învățăturile
summer vara
problems problemele
has dotat
appointed numiți
qualities calitățile
opinion părere
journey călătorie
command comandă
polysaccharide polizaharide
architect arhitectul
controversy controverse
name cantacuzino
present prezentă
bridge podișul
hope speranța
remaining rămânând
efficiency eficiența
devices dispozitive
revolt revolta
among rândul
attempts încercări
move mută
balkan balcanic
pass circulă
gravitational gravitațională
find găsim
own propriul
baltic baltice
voivode domnitorul
world mondial
wants vrea
replaced înlocuit
support susținute
name lev
glass sticlei
ropes corzi
annually anual
behaviour comportament
time epocii
constants constante
approximately aproximativ
symbols simboluri
not nici
focus concentrează
when cînd
sector sectorul
way chip
lodge lojă
slavic slavă
chose ales
egyptian egiptene
i îmi
swedish suedeză
rumors zvonuri
banks malurile
designed menite
harbors porturile
again iar
able capabile
because întrucât
ten x
sent trimisă
identify identificarea
time epocă
ruler voievodul
memory memoria
rule stăpânirea
beginning începuturile
tank rezervor
name franz
foreign străine
grown crescut
olympic olimpic
consequences efectele
between cuprinsă
tell spun
conservative conservatori
adverb adverbe
air aeriene
held purtat
fuel combustibilul
pushkin pușkin
another altul
express expres
central centrale
loves iubește
can poți
painter pictor
vienna viena
registered înregistrată
hole gaură
last ultimul
village satul
population populații
defending apărând
medicines medicamente
butterfly butterflies
author autorului
gold aurul
nation națiunilor
defeat înfrângere
fortress fortăreața
sentiments sentimente
performances performanțe
standing pictate
taskbar bara
further departe
gardens grădinile
b.c îc
by către
current curenți
interwar interbelică
size mărimea
contest încercarea
fans fani
applies aplică
la ou
often deseori
oficial oficială
immense imense
live pleca
front fruntea
final definitiv
fast rapide
committee comitetul
people persoane
lines liniei
croatia croația
associate asociat
keyboard tastaturii
adding adăugarea
contribute colaborează
finnish finlandeză
positive pozitivă
themes temele
future ulterioare
name ioan
indeed întradevăr
fear teamă
fountain fântâna
kazakhstan kazahstan
making făcând
maintain mențină
trend tendință
whole toată
fundamental fundamentale
recognition recunoaște
cultures culturi
precise explicit
mode mod
execute execută
locations locații
contemporary contemporani
horses cai
alimentary alimentară
network țesut
restrained restrâns
i î
drawing desen
resistance rezistență
colonisation colonizarea
wonders minuni
rising înălțarea
industrial industrială
arab arabe
variables variabile
aces ași
first primului
ascertain constată
deadline aplicare
sales vânzări
banks maluri
manner manieră
precision precizie
sine sin
increasing creșterii
machines aparate
choice alegerea
promote promovate
leaving lăsând
phd dr
elaborated elaborată
learned învățați
south sudice
proves demonstrează
worked lucrat
pagan păgâne
protein proteină
acylation acilare
18 xviii
affluent afluent
able capabili
chemicals acilare
combines îmbină
mister domnului
times vremuri
intensity intensitate
lighter ușoare
six șase
consist compuși
company companii
truth adevărului
school școlar
us noi
known cunoscuți
press presă
fund fonduri
early timpuriu
second iia
placed situat
egyptian egipteni
existing prezente
rumors speculații
structure structurile
romanian romana
provided oferit
extern externe
read citit
like precum
agreement agrement
little micul
links legăturile
firsts primi
jewish evreiești
painted pictat
end încheie
school școlare
ring inelului
vast vaste
candidate candidat
research studiului
box lojă
borders încadrează
reach ajungă
fabulous fabuloase
therefore implicit
unity unitară
conscience conștiință
ideas ideile
held ținut
state stare
sentenced condamnat
jose josé
choice varianta
reality adevărat
due datorează
party partidul
historic istoricul
transformed transformat
boulevard bulevardul
agricultural agricolă
built construită
independence independența
mountain munte
nations naționalități
riot revolta
them cei
cable cablu
magnetic magnetice
price preț
arch arcul
mediterranean mediterane
faiths credințele
precise precisă
spoken vorbit
lands ținuturile
successive succesive
time durată
valid valabil
bronze bronz
inspired inspirată
married căsătorește
themes subiecte
natural naturale
secretary secretarul
sings cântă
minorities minorităților
academical universitare
play juca
pretends pretinde
extent extindere
river fluviul
use utilizarea
entitled intitulat
news publicitate
wide extinsă
basin bazin
circles cercurile
situated găsește
tey încerca
greek grecesc
interpreter interpretei
you team
drama dramă
crossing trecere
valleys văi
leaves frunzele
bush arbuști
accountancy contabilitatea
protected protejate
bulgarian bulgare
archeology arheologie
resume sumar
underground subterană
music muzică
professional profesioniști
regular obișnuită
code codul
atoms atomilor
deaf surdă
maximum maxim
russian rusesc
air aerului
secret secretă
reject respinge
expansion extinderea
capable capabil
trip drum
average mediu
valuable valoroase
special specială
iceberg aisberg
trade comerțul
substance materiei
classes clasele
city brașov
bed patul
stopped împiedicat
romanticism romantismului
believe cred
mine ocna
profound profundă
letter literă
behave comportă
gravitational gravitațional
accomplish îndeplinirea
sufficient suficient
spaces spațiile
half jumătatea
contemporary contemporane
occidental răsăritene
legislative legislativ
degrees grade
intricate complexe
unification unirii
face chipul
sense sensul
subject materiei
digitally digital
provinces provinciile
coast coasta
conservator conservatori
manifestation manifestare
father tatălui
knows știe
gothic gotic
pronounce pronunță
vatican vaticanului
criteria criterii
states membre
crusaders cruciaților
electronics electronice
assassination asasinat
germs bacterie
objective scop
wife soție
status statutul
wolves lupi
replaced înlocuite
salida săli
base bazei
value valoarea
county județul
south sudul
former fostei
affluents afluenții
base piciorul
documents actele
postmodernism postmodernismului
clear clar
centuries secole
paradise paradisul
life viata
cross crucea
anyhow oricum
airy aeriană
bureau biroul
lake baltă
revolutionary revoluționare
established înființate
sizes mărimi
moscow moscovei
statistics statistice
breast sânul
reflect reflecta
renowned renumite
sustained susținea
latin latină
keys cheile
magazine revista
faun fauna
development dezvoltare
spelling ortografie
compact gros
having având
burning ardere
debates dezbateri
union unirea
korea coreea
only decât
falling căderea
shot alice
monetary monetară
top topul
firm firma
reduction reducere
emblem stema
yearly anual
chains lanțuri
archaeology arheologie
summarize ocupa
minute min
mentioned menționată
respect respecte
different diferitelor
decisions deciziile
huge enorme
florence florența
sure singure
divinity divinitate
education studiile
flag drapelului
spain spania
similar asemănătoare
department facultatea
main principalelor
name akatsuki
dry sec
presence prezența
personalities personalități
botany botanică
marine navală
kills ucide
actual actuală
city orășenești
trains trenurile
constitution constituie
find află
passionate pasionat
count contele
goals obiectivele
insufficient insuficient
privileges privilegii
greece grecia
eolian eoliene
landscape peisaj
domestic intern
defined definită
japanese japoneze
areas sectoarele
youngs tineri
evidence probe
mount muntelui
pronounced pronunță
movements mișcările
union unire
names numește
portraits portrete
renamed redenumit
past trecutul
nordic nordică
earth pământului
policies politicile
rulers conducătorii
admit recunoască
sports sporturi
vicinity vecinătatea
trains trenurilor
place lăcaș
magically magice
street stradă
circulate circulă
uses folosește
female feminine
acids acizi
cycle ciclul
prophet profetului
entered intrând
ship vasul
named denumită
anybody oricine
crews echipele
formed compus
dedicated dedicate
aerial aeriană
bulgarian bulgari
made alcătuite
versions versiuni
emperor împăratul
tool instrument
tomb mormântul
start declanșarea
pressure presiunii
failed eșuat
sanctuary lăcaș
step etapă
moving mutarea
found găsite
cultural culturală
defence apărare
organisms organismele
finished încetat
assembly adunării
famous celebră
myth mit
background fundal
called denumită
some niște
meetings ședințele
distribution distribuția
whole ansamblul
nothing nimic
rotation rotație
colours culorilor
responsible responsabile
market piață
time momentul
same același
him îi
starts pornesc
easy ușoară
town orășenesc
mouth gurile
evolution evoluția
attacked atacată
conquest cucerirea
came provenit
precipitations precipitațiilor
religions religiilor
marked marcată
realization realizate
legend legenda
area zonei
song cântecului
wife soția
own propriei
hill dealul
church bisericești
royal domnești
hard duritate
treaty tratatelor
on continuare
even chiar
ions ioni
conquered cucerită
emperor împarte
feature caracteristică
influential influențe
roads drumurilor
entrance intrării
highschool liceu
participant participanți
negotiations negocieri
appear apar
soldiers soldații
categories categorii
found aflați
announce anunță
issue emite
radiations radiații
ruler domnitor
taken preluat
future viitorului
room camera
found înființează
passes trec
range variată
mention amintim
coasts coastele
itself sine
government guvern
very tare
poor sărac
arab araba
democratic democratice
localization localizarea
site situl
antique antică
slaves sclavilor
farms ferme
terrain teren
methods metode
must trebui
answers răspunde
displaying prezentare
bloomed înflorit
order comanda
mammals mamifere
happening întâmpla
wine vinului
name sorin
huge vastă
company firma
borrowed împrumutate
direction direcțiile
origins originile
plain câmpia
name neagu
characters personajelor
quarters sferturi
support susțin
religious religioase
arrived ajuns
